Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Nop1i/ExMemory 1,7.090198971198837e-7,6.904281754991371e-7,7.38245030847429e-7,1.0541225773537321e-7,8.734335848203507e-8,1.2902324225369125e-7
Nop2i/ExMemory 1/ExMemory 1,9.328697290104816e-7,9.094070892845357e-7,9.690846774425306e-7,1.3212550640237383e-7,1.087883938557903e-7,1.7859499537988104e-7
Nop3i/ExMemory 1/ExMemory 1/ExMemory 1,1.1704993537719263e-6,1.1455311111366664e-6,1.2123263859025074e-6,1.4975295400758192e-7,1.1599465370395069e-7,2.1603248952261045e-7
Nop4i/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1,1.3542031011220723e-6,1.318530963126207e-6,1.4062187173714057e-6,1.8995835286619282e-7,1.396680105319279e-7,3.0268255494145976e-7
Nop5i/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1,1.4214466276033353e-6,1.379379193996855e-6,1.516907498246204e-6,2.708144435814774e-7,1.6739380411795416e-7,4.746793935152765e-7
Nop6i/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1,1.5617513002087595e-6,1.5117502782089932e-6,1.610926340010111e-6,2.24415799843846e-7,2.0432977461433503e-7,2.5547391261426295e-7
Nop1b/ExMemory 1,7.442656941705322e-7,7.27752620394392e-7,7.662167853966077e-7,8.664777576498619e-8,7.102102384264859e-8,1.0533081652270817e-7
Nop2b/ExMemory 1/ExMemory 1,9.109198174689454e-7,8.872461780117576e-7,9.301582199054166e-7,9.620066786603156e-8,8.139465315798338e-8,1.1702798982888927e-7
Nop3b/ExMemory 1/ExMemory 1/ExMemory 1,1.1469973417614817e-6,1.1236638837034131e-6,1.1704739464534644e-6,1.1141051672062764e-7,8.96281263923449e-8,1.356361041617782e-7
Nop4b/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1,1.326859923558836e-6,1.3026964132328992e-6,1.3629564125903155e-6,1.2662515836282876e-7,9.655502911355608e-8,1.9105702027276627e-7
Nop5b/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1/ExMemory 1,1.5209624444540997e-6,1.4870140505389023e-6,1.570892628579346e-6,1.598722178196839e-7,1.1586448680296836e-7,2.477591536023179e-7
